station,lon,lat,elevation,start_year,end_year
Columbus,277.11667,40.0,254,1951,1956
Concepcion,286.93333,-36.76667,13,1971,2009
ConcordiaStationBSRN,123.36833,-75.1,3233,2006,2021
Constanta,28.63333,44.21667,13,1964,2006
ConventoViejo,288.9,-34.75,312,1971,1971
Copiapo,289.6,-27.28333,290,1971,2020
CoralHarbour,276.63333,64.2,59,1970,1998
CordobaAirport,355.15,37.83333,91,2005,2021
Coro,290.31667,11.41667,16,1964,1998
Corvallis,236.78333,44.55,72,1957,1964
Corvatsch,9.81667,46.41667,3315,1981,2021
Corvo,328.88333,39.66667,28,1964,2015
Cosmos,284.41667,-12.15,4600,1983,1983
CoyaSur,290.35,-22.43333,1490,1966,1969
Coyhaique,287.88333,-45.58333,310,1989,2020
CozzoSpadaro,15.13333,36.68333,46,1989,2015
Craiova,23.86667,44.23333,192,1971,2021
Crawley,359.78333,51.08333,144,1981,1992
Creil,2.51667,49.25,88,2009,2021
Crotone,17.06667,39.0,158,1964,1989
CrownPointAirport,299.16667,11.15,3,1988,1997
"CrownPointarpt,Tobago",299.16667,11.15,15,1988,1997
Cumana,295.81667,10.45,2,1984,1998
Curico,288.76667,-34.96667,228,1997,2007
Cusco,288.01667,-13.55,3248,1983,1988
Dacca,90.38333,23.76667,8,1967,1971
DakarYoff,342.5,14.73333,27,1964,1991
Dalanzadgad,104.41667,43.58333,1469,1964,2021
Dalian,121.63333,38.9,92,1963,2000
DarelBeida,3.25,36.71667,25,1970,1975
DaresSalaam,39.2,-6.88333,55,1964,1976
Dartmouth,296.53333,44.6,31,1960,1962
DarwinAirport,130.88333,-12.41667,31,1994,2020
DarwinAirportold,130.86667,-12.4,31,1953,2001
DarwinBSRN,130.89111,-12.425,30,2002,2014
DarwinMetOfficeBSRN,130.8925,-12.42389,32,2008,2020
Datong,113.33333,40.1,1067,1961,2000
"Davis,Sacramento",238.25,38.53333,15,1950,1969
Davos,9.81667,46.8,1592,1988,2021
Davos-Dorf,9.85,46.81667,1590,1978,2007
Davos-Platz,9.81667,46.8,1580,1935,1977
Dax,358.93333,43.68333,31,2011,2021
DeAarBSRN,24.0,-30.66667,0,2000,2020
DeadSea,35.25,31.68333,-392,1960,1963
DeBelas,13.16667,-8.91667,53,1978,1978
DeBilt,5.18333,52.1,40,1964,2015
Debrecen,21.63333,47.5,123,1964,1986
Decimomannu,8.96667,39.35,29,2011,2013
DeKooy,4.78333,52.91667,0,1978,2015
Denpasar,115.21667,-8.66667,6,1970,1973
DesertRockBSRN,243.98194,36.62611,1007,1998,2020
DesertRockSURFRAD,243.98333,36.61667,1007,1998,2008
DicksonIs.,80.4,73.5,47,1938,1995
Diego-Suarez,49.3,-12.35,105,1988,1993
Dijon,5.08333,47.26667,222,1976,2021
Dili,125.58333,-8.58333,4,1964,1974
Dinard,357.93333,48.58333,65,2011,2021
Diyarbakir,40.2,37.91667,667,1983,1983
Djakarta,106.83333,-6.18333,25,1970,1973
Djibouti,43.15,11.6,3,1973,1979
Dobbiaco,12.21667,46.73333,1222,1989,2010
DodgeCity,260.03333,37.76667,791,1951,2002
Dodoma,35.76667,-6.16667,1119,1965,1976
Dongola,30.48333,19.16667,225,1973,1992
Dongsheng,109.98333,39.83333,1460,1992,2000
Dori,359.95,14.03333,276,1971,1990
Douala,9.71667,4.01667,28,1960,1963
DoumaDamascus,36.38333,33.56667,679,1964,1967
Dresden-Klotzsche,13.75,51.13333,226,1999,2021
DresdenWahnsdorf,13.68333,51.11667,271,1964,1996
DubaiInt.Arpt,55.33333,25.25,8,1985,2007
DublinAirport,353.75,53.43333,85,1976,2021
"DublinCitydatasource:Murphy,T.",353.66667,52.33333,20,1975,1987
DumDumCalcutta,88.45,22.65,4,1964,2021
Dumontd'Urville,140.01667,-66.66667,43,1973,1987
DundeeMylnefield,356.93333,56.45,30,1968,1991
Dundo,20.81667,-7.4,775,1957,1987
Dunhuang,94.68333,40.15,1139,1957,2000
Dunstaffnage,354.56667,56.46667,3,1970,2017
Durban,30.95,-29.96667,8,1952,1976
EasternNorthAtlanticBSRN,331.9708,39.0911,15,2013,2016
Easthampstead,359.21667,51.38333,73,1965,1975
EastHarling,0.91667,52.45,21,1969,1974
EastLansing,275.53333,42.75,268,1950,1969
EastMalling,0.45,51.28333,37,1964,1975
EastWareham,289.33333,41.76667,15,1950,1956
Edinburgh,356.93333,56.45,30,1982,2017
EdmontonStonyPlain,245.9,53.55,767,1950,2000
Eelde,6.58333,53.13333,4,1978,2015
Efford,358.43333,50.73333,16,1958,1975
EgbertCare,280.21667,44.23333,0,1988,1999
Ejina,101.06667,41.95,940,1992,2000
Ekaterinburg,60.63333,56.8,237,1964,2021
El0livar,288.51667,-33.03333,120,1966,1973
ElArish,33.75,31.11667,17,1986,2009
ElbaMonteCalamita,10.4,42.73333,396,1991,1999
ElBosque,289.31667,-33.56667,580,1971,1972
ElCentro,244.33333,32.8,4,1963,1969
Eldoret,35.28333,0.53333,2120,1973,2006
ElFasher,25.33333,13.61667,733,1957,1992
ElizabethCityStateUniv.,283.75,38.3,4,1985,2012
