tskey,ebcode,ebkey,sgkey,sgxlon,sgylat,sgelevation,sgname,affiliation,until,sgcomment
1818,DIFFUS,3,4642,169.68401,-45.03800,370,Lauder,New Zealand,,"WMO OSCAR SURFACE, WRDC online archive accessed March 2021. World Radiation Data Centre, Solar radiation and radiation balance data, Voeikov Main Geophysical Observatory, St. Petersburg"
1819,GLOBAL,1,2380,169.68333,-45.05000,350,Lauder (BSRN),New Zealand,,"Ohmura, A. and others (1998), Baseline Surface Radiation Network (BSRN/WRMC), a new precision radiometry for climate research, Bull.Amer.Meteor.Soc., 79, 2115-2136."
1820,DIRECT,2,2380,169.68333,-45.05000,350,Lauder (BSRN),New Zealand,,"Ohmura, A. and others (1998), Baseline Surface Radiation Network (BSRN/WRMC), a new precision radiometry for climate research, Bull.Amer.Meteor.Soc., 79, 2115-2136."
1821,DIFFUS,3,2380,169.68333,-45.05000,350,Lauder (BSRN),New Zealand,,"Ohmura, A. and others (1998), Baseline Surface Radiation Network (BSRN/WRMC), a new precision radiometry for climate research, Bull.Amer.Meteor.Soc., 79, 2115-2136."
1785,GLOBAL,1,1061,272.11667,13.33333,95,La Union,El Salvador,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
1830,GLOBAL,1,976,289.98333,-27.96667,1200,Lautaro,Chile,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
1831,GLOBAL,1,4545,359.26667,48.03333,96,Laval,France,,"WRDC online archive accessed Sept. 2020. World Radiation Data Centre, Solar radiation and radiation balance data, Voeikov Main Geophysical Observatory, St. Petersburg"
1832,GLOBAL,1,1120,144.73333,-37.85000,16,Laverton,Australia,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
1833,DIFFUS,3,1120,144.73333,-37.85000,16,Laverton,Australia,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
1839,GLOBAL,1,2072,114.08333,-22.23333,6,Learmonth Airport,Australia,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
1840,DIRECT,2,2072,114.08333,-22.23333,6,Learmonth Airport,Australia,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
1841,DIFFUS,3,2072,114.08333,-22.23333,6,Learmonth Airport,Australia,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
1834,GLOBAL,1,4546,6.38333,43.36667,80,Le Luc,France,,"WRDC online archive accessed Sept. 2020. World Radiation Data Centre, Solar radiation and radiation balance data, Voeikov Main Geophysical Observatory, St. Petersburg"
1835,GLOBAL,1,4547,0.18333,47.93333,48,Le Mans,France,,"WRDC online archive accessed Sept. 2020. World Radiation Data Centre, Solar radiation and radiation balance data, Voeikov Main Geophysical Observatory, St. Petersburg"
1843,GLOBAL,1,1135,107.61667,-6.83333,1310,Lembang,Indonesia,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
1844,GLOBAL,1,2451,354.35000,42.58333,914,Leon,Spain,,
1845,DIFFUS,3,2451,354.35000,42.58333,914,Leon,Spain,,
1836,GLOBAL,1,4606,55.28333,-20.95000,9,Le Port,Reunion,,"WRDC online archive accessed Sept. 2020. World Radiation Data Centre, Solar radiation and radiation balance data, Voeikov Main Geophysical Observatory, St. Petersburg"
1837,GLOBAL,1,4548,3.75000,45.06667,833,Le Puy-Loudes,France,,"WRDC online archive accessed Sept. 2020. World Radiation Data Centre, Solar radiation and radiation balance data, Voeikov Main Geophysical Observatory, St. Petersburg"
1846,GLOBAL,1,2452,0.58333,41.61667,201,Lerida,Spain,,
1847,DIFFUS,3,2452,0.58333,41.61667,201,Lerida,Spain,,
1848,GLOBAL,1,1276,358.81667,60.13333,82,Lerwick,United Kingdom of Great Britain and Northern Ireland - previously United Kingdom of Great Britain and Northern Ireland,2006,"World Radiation Data Center, Voeikov Main Geophysical Observatory, St. Petersburg; Meteorological Office United Kingdom (1980), Solar radiation data for the United Kingdom 1951-75,Meteorological Office, Bracknell."
1849,DIFFUS,3,1276,358.81667,60.13333,82,Lerwick,United Kingdom of Great Britain and Northern Ireland - previously United Kingdom of Great Britain and Northern Ireland,2006,"World Radiation Data Center, Voeikov Main Geophysical Observatory, St. Petersburg; Meteorological Office United Kingdom (1980), Solar radiation data for the United Kingdom 1951-75,Meteorological Office, Bracknell."
1851,GLOBAL,1,3869,358.81528,60.13889,80,Lerwick (BSRN),United Kingdom of Great Britain and Northern Ireland - previously United Kingdom of Great Britain and Northern Ireland,2006,BSRN data archive
1852,DIRECT,2,3869,358.81528,60.13889,80,Lerwick (BSRN),United Kingdom of Great Britain and Northern Ireland - previously United Kingdom of Great Britain and Northern Ireland,2006,BSRN data archive
1853,DIFFUS,3,3869,358.81528,60.13889,80,Lerwick (BSRN),United Kingdom of Great Britain and Northern Ireland - previously United Kingdom of Great Britain and Northern Ireland,2006,BSRN data archive
1855,GLOBAL,1,1568,6.94444,46.45556,988,"Les Avants, Montreux",Switzerland,,"Kasser, P. and others (1970), Die Strahlungsverhältnisse im Gebiet der Baye de Montreux, Schweizerische Meteorologische Anstalt, Zürich."
1856,GLOBAL,1,2837,103.75000,29.50000,0,Leshan,China,,"China Meteorological Administration (2005), radiation data."
1857,DIFFUS,3,2837,103.75000,29.50000,0,Leshan,China,,"China Meteorological Administration (2005), radiation data."
1859,GLOBAL,1,416,247.20000,49.63333,929,Lethbridge,Canada,,"World Radiation Data Center, Voeikov Main Geophysical Observatory, St. Petersburg;  Kiene, M. (1989), Globale Sonnenstrahlung in Kanada und USA, Geographisches Institut ETH, Federal Institute of Technology ETH, Zurich."
1838,GLOBAL,1,4549,1.61667,50.51667,5,Le Touquet,France,,"WRDC online archive accessed Sept. 2020. World Radiation Data Centre, Solar radiation and radiation balance data, Voeikov Main Geophysical Observatory, St. Petersburg"
1861,GLOBAL,1,1629,275.40000,38.03333,301,Lexington,United States of America,,"Weather Bureau United States (1951), Climatological Data, National Summary, Annual Reports, US Weather Bureau."
1862,GLOBAL,1,2736,91.13333,29.66667,3649,Lhasa,China,,"China Meteorological Administration (2005), radiation data."
1863,DIFFUS,3,2736,91.13333,29.66667,3649,Lhasa,China,,"China Meteorological Administration (2005), radiation data."
1864,REFLEC,5,2736,91.13333,29.66667,3649,Lhasa,China,,"China Meteorological Administration (2005), radiation data."
1867,GLOBAL,1,144,35.25000,-13.28333,1365,Lichinga,Mozambique,,"World Radiation Data Center, Solar radiation and radiation balance data, Voeikov Main Geophysical Observatory, St. Petersburg. Haefliger, M. (1989), Globalstrahlungsdaten in Afrika, Geographisches Institut der ETH Zurich."
1868,GLOBAL,1,3706,21.02000,56.48000,4,Liepaja,Latvia - previously USSR,1992,
1869,GLOBAL,1,2812,100.21667,26.86667,2393,Lijiang,China,,"China Meteorological Administration (2005), radiation data."
1870,GLOBAL,1,4550,3.08333,50.56667,47,Lille-Lesquin,France,,"WRDC online archive accessed Sept. 2020. World Radiation Data Centre, Solar radiation and radiation balance data, Voeikov Main Geophysical Observatory, St. Petersburg"
1871,GLOBAL,1,1257,1.28333,45.81667,282,Limoges,France,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
1872,DIFFUS,3,1257,1.28333,45.81667,282,Limoges,France,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
1873,GLOBAL,1,1631,263.30000,40.81667,401,Lincoln,United States of America,,"Weather Bureau United States (1951), Climatological Data, National Summary, Annual Reports, US Weather Bureau."
1874,GLOBAL,1,2225,14.11667,52.21667,98,Lindenberg,Germany - previously German Democratic Republic - previously Germany,1990 - 1949,"Meteorologisches Observatorium Hamburg (1978), Ergebnisse von Strahlungsmessungen in der Bundesrepublik Deutschland,  Nr. 1 bis Nr. 18, sowie Band A bis E, Deutscher Wetterdienst, Hamburg."
1875,DIFFUS,3,2225,14.11667,52.21667,98,Lindenberg,Germany - previously German Democratic Republic - previously Germany,1990 - 1949,"Meteorologisches Observatorium Hamburg (1978), Ergebnisse von Strahlungsmessungen in der Bundesrepublik Deutschland,  Nr. 1 bis Nr. 18, sowie Band A bis E, Deutscher Wetterdienst, Hamburg."
1876,GLOBAL,1,2386,14.11667,52.21667,125,Lindenberg (BSRN),Germany - previously German Democratic Republic - previously Germany,1990 - 1949,"Ohmura, A. and others (1998), Baseline Surface Radiation Network (BSRN/WRMC), a new precision radiometry for climate research, Bull.Amer.Meteor.Soc., 79, 2115-2136."
1877,DIRECT,2,2386,14.11667,52.21667,125,Lindenberg (BSRN),Germany - previously German Democratic Republic - previously Germany,1990 - 1949,"Ohmura, A. and others (1998), Baseline Surface Radiation Network (BSRN/WRMC), a new precision radiometry for climate research, Bull.Amer.Meteor.Soc., 79, 2115-2136."
1878,DIFFUS,3,2386,14.11667,52.21667,125,Lindenberg (BSRN),Germany - previously German Democratic Republic - previously Germany,1990 - 1949,"Ohmura, A. and others (1998), Baseline Surface Radiation Network (BSRN/WRMC), a new precision radiometry for climate research, Bull.Amer.Meteor.Soc., 79, 2115-2136."
1880,GLOBAL,1,145,344.88333,15.38333,20,Linguere,Senegal,,"World Radiation Data Center, Solar radiation and radiation balance data, Voeikov Main Geophysical Observatory, St. Petersburg. Haefliger, M. (1989), Globalstrahlungsdaten in Afrika, Geographisches Institut der ETH Zurich."
1881,GLOBAL,1,1400,350.85000,38.71667,77,Lisboa,Portugal,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
1882,GLOBAL,1,4604,350.85000,38.71667,77,Lisboa / Inst.Geofis.,Portugal,,"WRDC online archive accessed Sept. 2020. World Radiation Data Centre, Solar radiation and radiation balance data, Voeikov Main Geophysical Observatory, St. Petersburg"
1883,DIFFUS,3,4604,350.85000,38.71667,77,Lisboa / Inst.Geofis.,Portugal,,"WRDC online archive accessed Sept. 2020. World Radiation Data Centre, Solar radiation and radiation balance data, Voeikov Main Geophysical Observatory, St. Petersburg"
